,year,전용면적(㎡)_x,price,employment_rate(%),GDP(won),economysc,consumeprc,migrationpop,bankloan(1bw),room,bath,버스노선수,단지명_enc,enc_가좌동,enc_고양동,enc_관산동,enc_대화동,enc_덕은동,enc_덕이동,enc_도내동,enc_동산동,enc_마두동,enc_백석동,enc_사리현동,enc_삼송동,enc_성사동,enc_성석동,enc_식사동,enc_신원동,enc_원흥동,enc_일산동,enc_장항동,enc_주교동,enc_주엽동,enc_중산동,enc_지축동,enc_탄현동,enc_토당동,enc_풍동,enc_행신동,enc_향동동,enc_화정동
22,2012,161,82815,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,4,0.003536380514543365,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2012,59,12600,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,0,0.002033418795862435,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2012,84,16400,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,0,0.002033418795862435,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2012,84,24988,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,0,0.0026522853859075237,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2012,106,34363,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,0,0.0026522853859075237,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2012,115,38469,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,0,0.0026522853859075237,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2012,59,14650,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,0,0.0017681902572716825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2012,84,18433,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,0,0.0017681902572716825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2012,59,14823,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,0,0.0017681902572716825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2012,84,18096,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,0,0.0017681902572716825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
